Datetime,Close,prev_day_high,prev_day_low,high_wick_sweep,low_wick_sweep,isGreen,isHigh,isLow,trend_ranging,trend_uptrend,ADX,DMP,DMN,is_trending,adx_uptrend,adx_downtrend,DI_cross_up,DI_cross_down,ADX_slope,trend_strengthening,trend_weakening,strong_up,fading_up,strong_down,fading_down,macd_line,macd_signal,macd_hist,lr_upper,lr_lower,near_upper_band,near_lower_band,touches_upper,touches_lower,broke_above,broke_below,bands_widening,bands_narrowing,macd_bullish_entry,macd_bearish_entry,rsi,rsi_overbought,rsi_oversold,mr_below_sma20,mr_above_sma20,mr_bb_below_lower,mr_bb_above_upper,mr_rsi_oversold,mr_rsi_overbought,mr_z_score_low,mr_z_score_high,mr_below_vwap,mr_above_vwap,mo_roc_positive_20,mo_roc_negative_20,mo_golden_cross,mo_death_cross,mo_macd_cross_up,mo_macd_cross_down,mo_adx_trending,mo_breakout_high20,mo_breakdown_low20,mo_volume_surge,mo_consecutive_up3,mo_consecutive_down3,mo_combo_long,mo_combo_short,fvg_bull_top,fvg_bull_bot,fvg_bear_top,fvg_bear_bot,in_bull_fvg,in_bear_fvg,recent_low_sweep,recent_high_sweep,setup_bull_sweep_fvg,setup_bear_sweep_fvg,setup_bull_confirmed,setup_bear_confirmed,spy_ret,qqq_ret,idx_div_spy_up_qqq_down,idx_div_spy_down_qqq_up,idx_div_any,idx_div_rolling3,idx_corr_20,idx_corr_breakdown,news_sentiment_score,news_article_count,news_bull,news_bear,news_sentiment_strong_bull,news_sentiment_strong_bear
2026-03-30 13:30:00+00:00,638.8499755859375,0.0,0.0,False,False,False,False,False,True,False,0.0,0.0,0.0,False,False,False,False,False,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 13:35:00+00:00,637.9500122070312,0.0,0.0,False,False,False,False,True,True,False,0.0,0.0,0.0,False,False,False,False,False,0.0,False,False,False,False,False,False,-0.0717919504540987,-0.01435839009081974,-0.05743356036327896,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,False,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014087241344586943,-0.0016601267245156537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 13:40:00+00:00,637.1699829101562,0.0,0.0,False,False,False,False,True,True,False,0.0,0.0,0.0,False,False,False,False,False,0.0,False,False,False,False,False,False,-0.18944562249271257,-0.04937583657119831,-0.14006978592151426,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,False,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.78,637.91,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012227122532318946,-0.0013355354012430931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 13:45:00+00:00,636.094970703125,0.0,0.0,False,False,False,False,True,True,False,0.0,0.0,0.0,False,False,False,False,False,0.0,False,False,False,False,False,False,-0.3652214604343271,-0.11254496134382408,-0.25267649909050305,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,False,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,637.78,637.4761,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001687167060383632,-0.0015321357693700577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 13:50:00+00:00,635.7650146484375,0.0,0.0,False,False,False,False,True,True,False,0.0,0.0,0.0,False,False,False,False,False,0.0,False,False,False,False,False,False,-0.5250967855724866,-0.1950553261895566,-0.33004145938293006,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,False,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,636.78,636.63,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005187213700538207,-0.0006032053363587142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 13:55:00+00:00,635.0700073242188,0.0,0.0,False,False,False,False,True,True,False,0.0,0.0,0.0,False,False,False,False,False,0.0,False,False,False,False,False,False,-0.6998134019507916,-0.2960069413418036,-0.40380646060898795,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,False,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,635.97,635.85,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001093182714061558,-0.0017572959743621386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 14:00:00+00:00,636.0399780273438,0.0,0.0,False,False,True,True,False,True,False,0.0,0.0,0.0,False,False,False,False,False,0.0,False,False,False,False,False,False,-0.751347978044123,-0.3870751486822675,-0.3642728293618555,0.0,0.0,False,False,False,False,False,False,False,False,False,False,8.057118852154332,False,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001527344532001873,0.0012803523383768667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 14:05:00+00:00,636.1599731445312,0.0,0.0,False,False,True,True,False,True,False,0.0,0.0,0.0,False,False,False,False,False,0.0,False,False,False,False,False,False,-0.7735894402442227,-0.4643780069946586,-0.3092114332495641,0.0,0.0,False,False,False,False,False,False,False,False,False,False,9.033570091095868,False,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018865970903214624,0.0005872746111472704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 14:10:00+00:00,636.510009765625,0.0,0.0,False,False,True,True,False,True,False,0.0,0.0,0.0,False,False,False,False,False,0.0,False,False,False,False,False,False,-0.7542761039292145,-0.5223576263815698,-0.23191847754764472,0.0,0.0,False,False,False,False,False,False,False,False,False,False,11.970511107762306,False,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005502336454201728,0.0008329465062881791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 14:15:00+00:00,635.8900146484375,0.0,0.0,False,False,False,False,True,True,False,0.0,0.0,0.0,False,False,False,False,False,0.0,False,False,False,False,False,False,-0.7800071334987706,-0.57388752780501,-0.20611960569376064,0.0,0.0,False,False,False,False,False,False,False,False,False,False,11.276076196006372,False,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009740539939282478,-0.0011261234445176793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
