Datetime,Close,fvg_bull_top,fvg_bull_bot,fvg_bear_top,fvg_bear_bot,in_bull_fvg,in_bear_fvg,recent_low_sweep,recent_high_sweep,setup_bull_sweep_fvg,setup_bear_sweep_fvg,setup_bull_confirmed,setup_bear_confirmed
2026-03-30 13:30:00+00:00,638.8499755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 13:35:00+00:00,637.9500122070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 13:40:00+00:00,637.1699829101562,0.0,0.0,638.78,637.91,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 13:45:00+00:00,636.094970703125,0.0,0.0,637.78,637.4761,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 13:50:00+00:00,635.7650146484375,0.0,0.0,636.78,636.63,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 13:55:00+00:00,635.0700073242188,0.0,0.0,635.97,635.85,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 14:00:00+00:00,636.0399780273438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 14:05:00+00:00,636.1599731445312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 14:10:00+00:00,636.510009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 14:15:00+00:00,635.8900146484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 14:20:00+00:00,636.2999877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 14:25:00+00:00,635.8599853515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 14:30:00+00:00,635.9600219726562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 14:35:00+00:00,635.8599853515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 14:40:00+00:00,634.9500122070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 14:45:00+00:00,635.760009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 14:50:00+00:00,636.260009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30 14:55:00+00:00,637.510009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
